Redshift	Hubble0	OmegaM	OmegaB	SpectralIndex	Sigma8
0	67.74	0.3089	0.0486	0.9667	0.8159
Wavenumber(k)	Pk
5e-05	221.19582408622296
5.0346757420818544e-05	222.67841145592962
5.0695919655814964e-05	224.17093346829583
5.104750338273245e-05	225.6734566407922
5.14015253949769e-05	227.18604793502445
5.175800260241893e-05	228.70877475953148
5.2116952032201616e-05	230.24170497348683
5.247839082955383e-05	231.78490688975688
5.2842336258609105e-05	233.33844927792117
5.320880570323033e-05	234.9024013673265
5.357781666784009e-05	236.47683285015435
5.3949386778256674e-05	238.06181388450366
5.4323533782536084e-05	239.65741509750646
5.4700275551819726e-05	241.26370758845187
5.507963008118798e-05	242.88076293193623
5.546161549051983e-05	244.50865318103965
5.584625002535828e-05	246.1474508705128
5.62335520577819e-05	247.79722901998778
5.662354008728235e-05	249.4580611258848
5.701623274164798e-05	251.13002113908234
5.741164877785367e-05	252.81318349645113
5.780980708295665e-05	254.50762313129806
5.821072667499872e-05	256.2134154766783
5.861442670391464e-05	257.9306364687064
5.902092645244679e-05	259.65936254989316
5.9430245337066226e-05	261.3996706725147
5.984240290890012e-05	263.15163830199504
6.0257418854665615e-05	264.9153434203098
6.067531299761015e-05	266.69086452941747
6.109610529845833e-05	268.47828065471504
6.151981585636538e-05	270.27767134850643
6.19464649098771e-05	272.08911669350147
6.23760728378966e-05	273.9126973160444
6.280866016065779e-05	275.7484944702761
6.324424754070535e-05	277.59659000300485
6.368285578388185e-05	279.45706631018567
6.412450584032141e-05	281.3300063401367
6.45692188054505e-05	283.2154935972454
6.501701592099543e-05	285.1136121456952
6.546791857599709e-05	287.02444661323165
6.592194830783251e-05	288.94808219493876
6.637912680324367e-05	290.88460465704765
6.683947589937327e-05	292.8341003407707
6.730301758480788e-05	294.796656166161
6.776977400062815e-05	296.7723596359947
6.823976744146642e-05	298.76129883968844
6.871302035657163e-05	300.7635624540017
6.918955535088159e-05	302.77923961757244
6.966939518610266e-05	304.8084198866605
7.015256278179708e-05	306.8511933992943
7.063908121647763e-05	308.9076508911653
7.112897372870998e-05	310.977883699549
7.162226371822274e-05	313.06198376726013
7.211897474702508e-05	315.1600436466124
7.26191305405322e-05	317.2721565034357
7.312275498869862e-05	319.398416121088
7.362987214715918e-05	321.53891690451076
7.414050623837815e-05	323.69375388430706
7.465468165280617e-05	325.8630227208464
7.517242295004531e-05	328.0468197083937
7.569375486002209e-05	330.24524177927407
7.621870228416875e-05	332.45838658069994
7.674729029661265e-05	334.68635265980953
7.727954414537397e-05	336.92923927754504
7.781548925357164e-05	339.1871463601263
7.835515122063767e-05	341.46017450351724
7.889855582353999e-05	343.74842497792423
7.944572901801357e-05	346.05199973231805
7.999669693980029e-05	348.3710013989916
8.055148590589725e-05	350.70553329814544
