Redshift	Hubble0	OmegaM	OmegaB	SpectralIndex	Sigma8
0	67.74	0.3089	0.0486	0.9667	0.8159
Wavenumber(k)	Pk
1e-05	2.6777642240683203e-22
1.005757326316207e-05	2.6772523670013917e-22
1.0115477994387253e-05	2.6767406077764067e-22
1.017371610204535e-05	2.676228946374663e-22
1.0232289505493276e-05	2.675717382777462e-22
1.02912001351383e-05	2.675205916966108e-22
1.0350449932501684e-05	2.6746945489219086e-22
1.0410040850282658e-05	2.6741832786261767e-22
1.0469974852422779e-05	48.796528412672366
1.0530253914170659e-05	49.068083268735194
1.0590880022147055e-05	49.341149331553524
1.0651855174410353e-05	49.61573500637016
1.071318138052241e-05	49.891848745125834
1.077486066161479e-05	50.16949904671778
1.083689505045537e-05	50.448694457261425
1.0899286591515327e-05	50.72944357035191
1.0962037341036543e-05	51.011755027325435
1.1025149367099336e-05	51.295637517527176
1.1088624749690649e-05	51.58109977857531
1.1152465580772585e-05	51.868150596630414
1.1216673964351359e-05	52.15679880666232
1.1281252016546633e-05	52.4470532927234
1.134620186566126e-05	52.73892298821947
1.1411525652251427e-05	53.03241687618403
1.1477225529197206e-05	53.32754398955126
1.1543303661773496e-05	53.62431341174483
1.160976222772139e-05	53.922734283393105
1.1676603417319958e-05	54.222815802604984
1.1743829433458406e-05	54.524567219085526
1.1811442491708702e-05	54.827997834158765
1.187944482039858e-05	55.13311700105448
1.1947838660684989e-05	55.43993412519979
1.2016626266627946e-05	55.7484586645115
1.2085809905264828e-05	56.05870012968953
1.2155391856685083e-05	56.370668084511685
1.2225374414105384e-05	56.68437214613246
1.2295759883945198e-05	56.99982198537898
1.2366550585902797e-05	57.317027327054184
1.2437748853031718e-05	57.63599795023814
1.250935703181765e-05	57.95674368859073
1.2581377482255764e-05	58.2792744306588
1.2653812577928488e-05	58.60360012018205
1.2726664706083747e-05	58.929730756353685
1.2799936267713624e-05	59.25767638804419
1.2873629677633504e-05	59.587447108011254
1.2947747364561647e-05	59.919053063626045
1.3022291771199235e-05	60.25250445857174
1.3097265354310887e-05	60.58781155314982
1.3172670584805607e-05	60.92498466459885
1.3248509947818233e-05	61.264034167405015
1.3324785942791335e-05	61.60497049362104
1.3401501083557593e-05	61.947804133183645
1.3478657898422635e-05	62.292545634235516
1.3556258930248375e-05	62.63920560344511
1.363430673653681e-05	62.987794706331705
1.371280388951431e-05	63.3383236675902
1.3791752976216398e-05	63.69080327142002
1.3871156598572993e-05	64.04524436185208
1.3951017373494185e-05	64.40165784308147
1.4031337932956464e-05	64.76005467979941
1.4112120924089467e-05	65.12044590029393
1.4193369009263222e-05	65.48284260584553
1.427508486617589e-05	65.84725596268969
1.435727118794201e-05	66.21369719930614
1.4439930683181268e-05	66.5821776067669
1.4523066076107755e-05	66.95270853908495
1.4606680106619741e-05	67.32530141356658
1.469077553039e-05	67.69996771116367
1.4775355118956602e-05	68.07671897683036
1.4860421659814275e-05	68.45556681988037
1.4945977956506254e-05	68.8365229143451
1.5032026828716699e-05	69.21959899933691
1.5118571112363598e-05	69.6048068794104
1.5205613659692256e-05	69.99215842493012
1.5293157339369277e-05	70.38166557243763
1.5381205036577124e-05	70.7733403250183
1.5469759653109182e-05	71.16719475267807
1.5558824107465425e-05	71.56324099162002
1.564840133494857e-05	71.96149123498876
1.573849428776084e-05	72.36195773764048
1.5829105935101237e-05	72.76465282238601
1.592023926326342e-05	73.16958888043489
1.6011897275734117e-05	73.57677837177486
1.6104082993292106e-05	73.9862338255505
1.6196799454107768e-05	74.39796784044889
1.629004971384323e-05	74.8119930850818
1.638383684575306e-05	75.22832229837456
1.6478163940785555e-05	75.64696828995477
1.657303410768461e-05	76.06794394054369
1.666845047309218e-05	76.4912622023494
1.6764416181651303e-05	76.91693609946319
1.686093439610977e-05	77.34497872825732
1.6958008297424335e-05	77.77540325778517
1.705564108486555e-05	78.20822293018105
1.7153835976123226e-05	78.64345106146466
1.7252596207412457e-05	79.0811010531535
1.7351925033580287e-05	79.52118639456448
1.7451825728212967e-05	79.96372065101171
1.7552301583743866e-05	80.40871746352656
1.7653355911561956e-05	80.85619054928209
1.775499204212096e-05	81.30615370201757
1.7857213325049108e-05	81.75862079246981
1.7960023129259535e-05	82.21360576880046
1.8063424843061308e-05	82.67112265703551
1.816742187427109e-05	83.1311855614939
1.8272017650325463e-05	83.5938086652324
1.837721561839388e-05	84.05900623048335
1.848301924549227e-05	84.52679259909827
1.8589432018597302e-05	84.99718219299352
1.8696457444761312e-05	85.47018951460073
1.880409905122788e-05	85.94582914731505
1.8912360385548075e-05	86.424115755907
1.9021245015697384e-05	86.90506407603081
1.9130756530193276e-05	87.38868889984369
1.9240898538213505e-05	87.87500509784739
1.935167466971503e-05	88.36402762289026
1.9463088575553657e-05	88.85577151062111
1.957514392760436e-05	89.35025187994631
1.9687844418882294e-05	89.84748393348663
1.9801193763664516e-05	90.3474829580399
1.9915195697612373e-05	90.85026432504495
2.002985397789465e-05	91.35584349104693
2.0145172383311365e-05	91.8642359981656
2.0261154714418327e-05	92.37545747456907
2.037780479365239e-05	92.88952363494509
2.0495126465457412e-05	93.40645028097897
2.061312359641098e-05	93.92625330183299
2.073180007535182e-05	94.4489486746276
2.0851159813507985e-05	94.97455246492544
2.0971206744625735e-05	95.50308083495369
2.1091944825099186e-05	96.0345500758755
2.1213378034100715e-05	96.56897658230031
2.1335510373712088e-05	97.10637684059262
2.1458345869056364e-05	97.64676742938325
2.1581888568430558e-05	98.19016502008887
2.1706142543439026e-05	98.73658637743385
2.183111188912771e-05	99.28604835997544
2.195680072411904e-05	99.83856792063412
2.2083213190747725e-05	100.39416210722192
2.2210353455197225e-05	100.95284806297707
2.2338225707637088e-05	101.51464302710498
2.246683416236104e-05	102.07956433531378
2.2596183057925858e-05	102.64762942035992
2.2726276657291083e-05	103.21885581259436
2.2857119247959507e-05	103.79326114051389
2.2988715142118464e-05	104.37086313130995
2.312106867678197e-05	104.95167960784102
2.3254184213933636e-05	105.53572844925705
2.3388066140670435e-05	106.12302760512297
