# # r12[Mpc/h] r13[Mpc/h] r23[Mpc/h]
2.5 2.5 2.5
2.5 7.5 7.5
2.5 12.5 12.5
2.5 17.5 17.5
2.5 22.5 22.5
2.5 27.5 27.5
2.5 32.5 32.5
2.5 37.5 37.5
2.5 42.5 42.5
2.5 47.5 47.5
2.5 52.5 52.5
2.5 57.5 57.5
2.5 62.5 62.5
2.5 67.5 67.5
2.5 72.5 72.5
2.5 77.5 77.5
2.5 82.5 82.5
2.5 87.5 87.5
2.5 92.5 92.5
2.5 97.5 97.5
2.5 102.5 102.5
2.5 107.5 107.5
2.5 112.5 112.5
2.5 117.5 117.5
2.5 122.5 122.5
2.5 127.5 127.5
2.5 132.5 132.5
2.5 137.5 137.5
2.5 142.5 142.5
2.5 147.5 147.5
2.5 152.5 152.5
2.5 157.5 157.5
7.5 7.5 7.5
7.5 7.5 12.5
7.5 12.5 12.5
7.5 12.5 17.5
7.5 17.5 17.5
7.5 17.5 22.5
7.5 22.5 22.5
7.5 22.5 27.5
7.5 27.5 27.5
7.5 27.5 32.5
7.5 32.5 32.5
7.5 32.5 37.5
7.5 37.5 37.5
7.5 37.5 42.5
7.5 42.5 42.5
7.5 42.5 47.5
7.5 47.5 47.5
7.5 47.5 52.5
7.5 52.5 52.5
7.5 52.5 57.5
7.5 57.5 57.5
7.5 57.5 62.5
7.5 62.5 62.5
7.5 62.5 67.5
7.5 67.5 67.5
7.5 67.5 72.5
7.5 72.5 72.5
7.5 72.5 77.5
7.5 77.5 77.5
7.5 77.5 82.5
7.5 82.5 82.5
7.5 82.5 87.5
7.5 87.5 87.5
7.5 87.5 92.5
7.5 92.5 92.5
7.5 92.5 97.5
7.5 97.5 97.5
7.5 97.5 102.5
7.5 102.5 102.5
7.5 102.5 107.5
7.5 107.5 107.5
7.5 107.5 112.5
7.5 112.5 112.5
7.5 112.5 117.5
7.5 117.5 117.5
7.5 117.5 122.5
7.5 122.5 122.5
7.5 122.5 127.5
7.5 127.5 127.5
7.5 127.5 132.5
7.5 132.5 132.5
7.5 132.5 137.5
7.5 137.5 137.5
7.5 137.5 142.5
7.5 142.5 142.5
7.5 142.5 147.5
7.5 147.5 147.5
7.5 147.5 152.5
7.5 152.5 152.5
7.5 152.5 157.5
7.5 157.5 157.5
12.5 12.5 12.5
12.5 12.5 17.5
12.5 12.5 22.5
12.5 17.5 17.5
12.5 17.5 22.5
12.5 17.5 27.5
12.5 22.5 22.5
12.5 22.5 27.5
12.5 22.5 32.5
12.5 27.5 27.5
12.5 27.5 32.5
12.5 27.5 37.5
12.5 32.5 32.5
12.5 32.5 37.5
12.5 32.5 42.5
12.5 37.5 37.5
12.5 37.5 42.5
12.5 37.5 47.5
12.5 42.5 42.5
12.5 42.5 47.5
12.5 42.5 52.5
12.5 47.5 47.5
12.5 47.5 52.5
12.5 47.5 57.5
12.5 52.5 52.5
12.5 52.5 57.5
12.5 52.5 62.5
12.5 57.5 57.5
12.5 57.5 62.5
12.5 57.5 67.5
12.5 62.5 62.5
12.5 62.5 67.5
12.5 62.5 72.5
12.5 67.5 67.5
12.5 67.5 72.5
12.5 67.5 77.5
12.5 72.5 72.5
12.5 72.5 77.5
12.5 72.5 82.5
12.5 77.5 77.5
12.5 77.5 82.5
12.5 77.5 87.5
12.5 82.5 82.5
12.5 82.5 87.5
12.5 82.5 92.5
12.5 87.5 87.5
12.5 87.5 92.5
12.5 87.5 97.5
12.5 92.5 92.5
12.5 92.5 97.5
12.5 92.5 102.5
12.5 97.5 97.5
12.5 97.5 102.5
12.5 97.5 107.5
12.5 102.5 102.5
12.5 102.5 107.5
12.5 102.5 112.5
12.5 107.5 107.5
12.5 107.5 112.5
12.5 107.5 117.5
12.5 112.5 112.5
12.5 112.5 117.5
12.5 112.5 122.5
12.5 117.5 117.5
12.5 117.5 122.5
12.5 117.5 127.5
12.5 122.5 122.5
12.5 122.5 127.5
12.5 122.5 132.5
12.5 127.5 127.5
12.5 127.5 132.5
12.5 127.5 137.5
12.5 132.5 132.5
12.5 132.5 137.5
12.5 132.5 142.5
12.5 137.5 137.5
12.5 137.5 142.5
12.5 137.5 147.5
12.5 142.5 142.5
12.5 142.5 147.5
12.5 142.5 152.5
12.5 147.5 147.5
12.5 147.5 152.5
12.5 147.5 157.5
12.5 152.5 152.5
12.5 152.5 157.5
12.5 157.5 157.5
17.5 17.5 17.5
17.5 17.5 22.5
17.5 17.5 27.5
17.5 17.5 32.5
17.5 22.5 22.5
17.5 22.5 27.5
17.5 22.5 32.5
17.5 22.5 37.5
17.5 27.5 27.5
17.5 27.5 32.5
17.5 27.5 37.5
17.5 27.5 42.5
17.5 32.5 32.5
17.5 32.5 37.5
17.5 32.5 42.5
17.5 32.5 47.5
17.5 37.5 37.5
17.5 37.5 42.5
17.5 37.5 47.5
17.5 37.5 52.5
17.5 42.5 42.5
17.5 42.5 47.5
17.5 42.5 52.5
17.5 42.5 57.5
17.5 47.5 47.5
17.5 47.5 52.5
17.5 47.5 57.5
17.5 47.5 62.5
17.5 52.5 52.5
17.5 52.5 57.5
17.5 52.5 62.5
17.5 52.5 67.5
17.5 57.5 57.5
