r12 	 r13 	 zeta_l(r12,r23) 
57.5	122.5	-7.74940481196068e-07
57.5	127.5	-1.5188566159007598e-07
57.5	132.5	-1.742065560687063e-07
57.5	137.5	-5.100764517146558e-07
57.5	142.5	-6.927501955990863e-07
57.5	147.5	-9.363104618756532e-09
57.5	152.5	1.6681000254864408e-06
57.5	157.5	2.9027164160887708e-06
62.5	62.5	-0.00018610134404352792
62.5	67.5	-8.991513987858024e-05
62.5	72.5	-3.99279124097945e-05
62.5	77.5	-1.530728138471778e-05
62.5	82.5	2.3371793246763624e-06
62.5	87.5	2.6073979684781046e-05
62.5	92.5	4.5450285529969724e-05
62.5	97.5	3.3250740826157345e-05
62.5	102.5	7.233314108188014e-06
62.5	107.5	-5.14371057100985e-06
62.5	112.5	-5.434048302964028e-06
62.5	117.5	-2.610586192315016e-06
62.5	122.5	-4.061962143184225e-07
62.5	127.5	6.265229726738649e-07
62.5	132.5	8.665260771849021e-07
62.5	137.5	6.602928033710104e-07
62.5	142.5	2.8438801645426453e-07
62.5	147.5	5.842736026322665e-08
62.5	152.5	5.39700529577203e-07
62.5	157.5	1.81100722249278e-06
67.5	67.5	-0.00015232682464669763
67.5	72.5	-7.704478532468156e-05
67.5	77.5	-3.597508244030131e-05
67.5	82.5	-1.002862092872842e-05
67.5	87.5	1.7571727392963816e-05
67.5	92.5	3.8774143843372806e-05
67.5	97.5	2.8205084890649535e-05
67.5	102.5	3.7747825302386606e-06
67.5	107.5	-7.313446296249523e-06
67.5	112.5	-6.604069202728061e-06
67.5	117.5	-3.044164470835003e-06
67.5	122.5	-3.4095546422413155e-07
67.5	127.5	1.011161615015895e-06
67.5	132.5	1.4639734640796617e-06
67.5	137.5	1.4120461378743946e-06
67.5	142.5	1.1205720184698185e-06
67.5	147.5	7.422546333191543e-07
67.5	152.5	5.13332008242664e-07
67.5	157.5	8.4980527228037e-07
72.5	72.5	-0.00012447641961906345
72.5	77.5	-6.46651956010295e-05
72.5	82.5	-2.653646956141744e-05
72.5	87.5	6.757118238408203e-06
72.5	92.5	3.1003650494434665e-05
72.5	97.5	2.303608342078595e-05
72.5	102.5	5.768670314238338e-07
72.5	107.5	-9.306493949869722e-06
72.5	112.5	-7.79358328602419e-06
72.5	117.5	-3.644860830972578e-06
72.5	122.5	-5.228640108180401e-07
72.5	127.5	1.114398008163674e-06
72.5	132.5	1.7594391414262827e-06
72.5	137.5	1.84775970867505e-06
72.5	142.5	1.6669588156941152e-06
72.5	147.5	1.3486537070583663e-06
72.5	152.5	9.953686991581092e-07
72.5	157.5	7.707400373124069e-07
77.5	77.5	-0.00010141845081654231
77.5	82.5	-4.9557520407992565e-05
77.5	87.5	-7.469313590896473e-06
77.5	92.5	2.1572477512775004e-05
77.5	97.5	1.74072310638506e-05
77.5	102.5	-2.5617706494491785e-06
77.5	107.5	-1.1232003784787818e-05
77.5	112.5	-9.046133105642478e-06
77.5	117.5	-4.404135853263136e-06
77.5	122.5	-9.056934329358197e-07
77.5	127.5	1.0050186070354e-06
77.5	132.5	1.841092207653867e-06
77.5	137.5	2.061491642134929e-06
77.5	142.5	1.9772852853262318e-06
77.5	147.5	1.7365581404026272e-06
77.5	152.5	1.4260842666712792e-06
77.5	157.5	1.0995818707634616e-06
82.5	82.5	-7.584522436364439e-05
82.5	87.5	-2.4793783230758053e-05
82.5	92.5	1.1238202838169143e-05
82.5	97.5	1.2186163585172404e-05
82.5	102.5	-4.872552669647965e-06
82.5	107.5	-1.249469057491383e-05
82.5	112.5	-9.92134101794624e-06
82.5	117.5	-5.00033922424913e-06
82.5	122.5	-1.2576092285949441e-06
82.5	127.5	8.465288694021959e-07
82.5	132.5	1.8196359954865187e-06
82.5	137.5	2.1291410184290938e-06
82.5	142.5	2.102222813952424e-06
82.5	147.5	1.9048807943589111e-06
82.5	152.5	1.631758724788374e-06
82.5	157.5	1.3215391876837622e-06
87.5	87.5	-3.747912294672165e-05
87.5	92.5	4.2135682224427694e-06
87.5	97.5	1.10566930496933e-05
87.5	102.5	-3.3926713819809226e-06
87.5	107.5	-1.0911783145373713e-05
87.5	112.5	-8.887015425879718e-06
87.5	117.5	-4.384421269108175e-06
87.5	122.5	-8.762880745513995e-07
87.5	127.5	1.0941544515424648e-06
87.5	132.5	1.9735413171197286e-06
87.5	137.5	2.206985406673018e-06
87.5	142.5	2.1155056887434326e-06
87.5	147.5	1.8643329432667479e-06
87.5	152.5	1.552934603838501e-06
87.5	157.5	1.2204499397094689e-06
92.5	92.5	2.3549863599252404e-06
92.5	97.5	1.4824249736503801e-05
92.5	102.5	2.724325639761944e-06
92.5	107.5	-5.867196136874557e-06
92.5	112.5	-5.562693879850135e-06
92.5	117.5	-2.328379466504938e-06
92.5	122.5	3.830946454890516e-07
92.5	127.5	1.8527766449561406e-06
92.5	132.5	2.398716495618022e-06
92.5	137.5	2.3974487452817056e-06
92.5	142.5	2.133443830171779e-06
92.5	147.5	1.7547023935156633e-06
92.5	152.5	1.351005728196176e-06
92.5	157.5	9.573144364114083e-07
97.5	97.5	9.665845932182103e-06
97.5	102.5	3.2306972909257057e-06
97.5	107.5	-4.679378477669712e-06
97.5	112.5	-5.073604625972891e-06
97.5	117.5	-2.348356832017396e-06
97.5	122.5	1.6753943263937994e-07
97.5	127.5	1.6109194235553925e-06
97.5	132.5	2.1935967711738386e-06
97.5	137.5	2.245084493627541e-06
97.5	142.5	2.03260490549838e-06
97.5	147.5	1.7006513463029034e-06
97.5	152.5	1.3393095042011777e-06
97.5	157.5	9.862865141751677e-07
102.5	102.5	-8.85366223067996e-06
102.5	107.5	-1.2074941788004592e-05
102.5	112.5	-1.0439997358617653e-05
102.5	117.5	-6.329003599953736e-06
102.5	122.5	-2.6821783789834582e-06
102.5	127.5	-3.387454718461496e-07
102.5	132.5	9.267193716559384e-07
102.5	137.5	1.4851296407455662e-06
102.5	142.5	1.6464845101586253e-06
102.5	147.5	1.5904272779691982e-06
102.5	152.5	1.434324471137509e-06
102.5	157.5	1.235635684687894e-06
107.5	107.5	-2.3614901795003707e-05
107.5	112.5	-1.8566730627551313e-05
107.5	117.5	-1.1932051107823896e-05
107.5	122.5	-6.470788867180974e-06
107.5	127.5	-2.827781134184841e-06
107.5	132.5	-6.509266130214065e-07
107.5	137.5	5.392177760790177e-07
107.5	142.5	1.1371395719584537e-06
107.5	147.5	1.384355183009642e-06
107.5	152.5	1.4390557259025112e-06
107.5	157.5	1.387716147666771e-06
112.5	112.5	-2.7118014035523395e-05
112.5	117.5	-1.8020941817513986e-05
112.5	122.5	-1.0378520994189383e-05
112.5	127.5	-5.2962040782943905e-06
112.5	132.5	-2.182181446573234e-06
112.5	137.5	-3.8472546878092526e-07
112.5	142.5	6.054949734832126e-07
112.5	147.5	1.10644193944263e-06
112.5	152.5	1.3256817193628498e-06
112.5	157.5	1.3799265336425076e-06
117.5	117.5	-2.487669517421115e-05
117.5	122.5	-1.5162064509603405e-05
117.5	127.5	-8.198841040509743e-06
117.5	132.5	-3.945936431200302e-06
117.5	137.5	-1.456384953115507e-06
117.5	142.5	-4.256165324822252e-08
117.5	147.5	7.193972617994937e-07
117.5	152.5	1.0995075807171072e-06
117.5	157.5	1.2535944506583779e-06
122.5	122.5	-2.1165465888701788e-05
122.5	127.5	-1.2286023688428708e-05
122.5	132.5	-6.3621608686061094e-06
122.5	137.5	-2.910557529416775e-06
122.5	142.5	-9.334398496627878e-07
122.5	147.5	1.654079695412442e-07
122.5	152.5	7.501389425649745e-07
122.5	157.5	1.0299039645183345e-06
127.5	127.5	-1.7643578910186892e-05
127.5	132.5	-9.952095183954052e-06
127.5	137.5	-5.014717507011233e-06
127.5	142.5	-2.2036954540048683e-06
127.5	147.5	-6.223048365780622e-07
127.5	152.5	2.5006685663419077e-07
127.5	157.5	7.049291300182354e-07
132.5	132.5	-1.4663718808156716e-05
132.5	137.5	-8.142804613998537e-06
132.5	142.5	-4.033474864387496e-06
132.5	147.5	-1.73035276851624e-06
132.5	152.5	-4.42751423270217e-07
132.5	157.5	2.5986103811349316e-07
137.5	137.5	-1.2225016235644794e-05
137.5	142.5	-6.732035914205674e-06
137.5	147.5	-3.3087732405212093e-06
137.5	152.5	-1.4018261503573264e-06
137.5	157.5	-3.4263679620954544e-07
142.5	142.5	-1.0230430840161775e-05
142.5	147.5	-5.617344960775667e-06
142.5	152.5	-2.753227045954009e-06
142.5	157.5	-1.1651543073447774e-06
147.5	147.5	-8.60359416179545e-06
147.5	152.5	-4.723531371693744e-06
147.5	157.5	-2.3197989303473114e-06
152.5	152.5	-7.266774115059362e-06
152.5	157.5	-3.998787677248807e-06
157.5	157.5	-6.16667169429152e-06
